text,label
Yeah Messi will likely break it and Mbappe will break it after,prediction
"This all started because Diouf decided to move towards the middle of the pitch for what?? Left a huge hole and as soon as Norway attacked that space, boom, goal.",analysis
I was rewatching the 7-1 game the other day and I realised that his opening goal in that game was his last ever World Cup goal.,reaction
"messi's record was nice to see for a while, this freak might do it in 3 world cups",prediction
"Honestly, in World Cups the name Ronaldo should be reserved exclusively for R9 at this point.",reaction
"Before anyone feels bad for Algeria, the real victims are going to be the Portugal players watching a certain teammate trying to score a goal from the edge of the box all game long while they are completely free. Edit: Well, I was almost right. Turns out hes afk in the box and ruining every chance the moment the ball is in his vicinity.",humor
"Currently first place potential path would be: Sweden-Germany-Morocco/Netherlands-Spain-Final. And second: Ivory Coast-Brazil-England/Portugal-Argentina-Final. Yeeks, either path looks damn hard.",analysis
"Jordi Alba literally made an entire career out of two tenants: - if Messi has ball, make a run - if you have ball, disregard all teammates and pass to Messi And he was a top 5 left back for like a decade straight doing that Edit: so today ive learned that tenets and tenants are different words. Jordi Alba was probably not Messi's landlord, though i have yet to confirm this.",analysis
"While I hope so, realistically won't they rest all their starters?",prediction
We’re gonna have to deal with the terrifying realization that he came to MLS to rest and build his strength for the World Cup,prediction
I think Cristiano's too old to think about having healthy knees.,humor
He looks constipated in this WC. Don't know what's wrong with him.,reaction
"You get to score two goals, and you get to score two goals, and you get to score two goals....",humor
Add in Harry Kane tomorrow for another brace,prediction
Cristian Ronald. Ronaldo's better sewey,humor
"It's pretty jarring having not watched him for 4 years since the last WC. You don't see teams play around their 10 like that at all anymore, literally every objective seems to be to find messi once you enter the other half of the pitch (sometimes earlier). It's mad how gracefully his game has aged considering I was under the impression he was borderline geriatric coming into the tournament.",analysis
"I sweared for the longest time that he was going to send the record to the stratosphere but nope, nothing afterwards",prediction
It’s not even “give the ball to him and pray”. It’s just “give the ball to him and enjoy”,humor
Jonathan David scores a hat trick and still gets demoted to 'and others' in the Messi vs Mbappé vs Haaland agenda.,analysis
"He is unreal at finding chances and reading positions too. Great pace, size, finishing, ideal striker really. People really do backflips over his game being like well he doesn't do this, that, whatever. But at the end of the day, you score more and you win, Haaland happens to score more than any other player",analysis
"Well they just saw this 10/10 performance. Man put in 3 successful tackles in the first 15 mins, a few key passes, and a hat trick. Yikes.",analysis
He just doesn't get to show off how well rounded he is at City all that much. But there are moments in City where you see it and certainly outside of City you see how complete a player he is.,analysis
"This is the day with the least amount of games (at least here, where the next game is at 1 AM on Wednesday) and yet it delivered).",prediction
Arsenal supporters cheering for Kane penalties and spurs supporters cheering for rice set pieces. The world cup can mend all.,humor
Starting to think he might be a decent player.,humor
"But with a better team around him. No disrespect to Norway, but they are hardly on City's level.",analysis
"It won't last long, Mbappe will take the record the next World Cup. Then Haaland will probably catch him after that.",prediction
"This but instead of no further work, for Alba it was run to the goal line then rinse and repeat. Profit.",reaction
"Yeah there’s just no big club at this point that’s willing to build their entire team around him like Argentina have. It works, but it also wouldn’t be a very sustainable way to build a squad. PSG did the dumbest thing, which is pair him with a player who moves even less than him off the ball.",analysis
"Honestly if Norway keeps playing like that, idk about going further lol",prediction
Him playing the day after these 3 light it up each group stage game is a legitimate Debuff for Portugal,analysis
Honestly playing in the MLS to keep up his conditioning without playing too hard or getting injured probably helped him haha. His insane skills just won't disappear cuz he played in the MLS.,humor
"That's not the first time he's done some high knee shot. Idk how he aims like that it's incredible. I can't think of another player who can do that, or at least one whose done it multiple times like him",analysis
"Just Fontaine is almost there, he is 6th right now with 13 goals having played only the 1958 World Cup.",analysis
Not if the witch has something to say about it,humor
His record is going to be obliterated by mbappe lol,prediction
"With the new format and this team, Norway will qualify next 2 world cups",prediction
Norway barely ever qualifies so Mbappe will have it,prediction
"It's gonna be dangerous to say the least, both sides defense needs to be S tier to prevent hell of a lot goals.",analysis
I am planning on going to town and contribute to the earth quake,reaction
"If he plays heroball and Portugal somehow loses to Uzbekistan, shut this sub down.",prediction
I think Haaland might get there. Needs to deliver against France though.,prediction
Bro was already washed when he came to Chelsea. All those years of playing in Serie A ruined him imo. He got way too used to the slow pace of the league. Bro always thinks he has more time than he actually does.,analysis
"I've seen enough, Morocco is the 2025 AFCON champion",humor
People ignoring Undav Abi in these lists is criminal. My man did it in 25 minutes per game.,reaction
"Klose even said that he expects his record to be broken, and that he isn't even upset about it.",prediction
My favorite part of when he joined Miami is seeing him go into grocery stores without people swarming him. Nobody knew who he was lol.,humor
Tbh under pressure Messi is no different.,reaction
"Man, he’s gonna play the 2030 WC at this rate",prediction
Imagine being top 5 goal scorers being in only 1 wc lol. Absolute beast,reaction
atp i kinda feel bad for him getting baptized by all the strays,reaction
UNC HAS FINISHED FOOTBALL AND NOW ON HIS NEWGAME+MODE . REF DO SOMETHING,reaction
And a freakishly good finisher. It's just ridiculous.,reaction
He will break the record maybe even this game. Lmao,humor
"10 seconds? A split second lapse in concentration and he could be 5 yards away from you by the time you have realised, game over.",prediction
"Mourinho has explained this nicely in a masterclass video, explaining how he planned his defense for messi in the ucl semifinal with inter milan, which inter won He used a system where the full back would man mark messi till certain points/regions/area in the field, after which other players in the respective positions would take over messi's responsibility. Communication &amp; proper handoff between the players was critical for this to work.",analysis
Eventually teams will stop giving him time and room at the top of the box. Any day now,prediction
"Haaland is built like a basketball player, but somehow has cardio strong enough to run around for 90mins",analysis
Mbappe is only 2 years older than Haaland and France should continue to go further in tournaments than Norway. Haaland will have a very hard time catching Mbappe. He's 12 goals behind lol,analysis
"Not just a hat trick, he’s clearly still the best player on the pitch. It makes no sense.",reaction
"add on freakishly agile, freakishly acrobatic",reaction
It is ridiculous. But I do think tbf Senegal are a much better team than anyone Messi has played yet.,analysis
Could he do it on a rainy night in Philly?,humor
Man doing his work to keep the balance of the world.,humor
I half expect him to put one in his own goal just to say he scored,humor
Keep his legs fresh for the next victims.,prediction
Revenge 12 years later Edit: Apparently generational trauma makes you forget the 2014 WC final,reaction
"Ngl, if they can't beat Uzbekistan with or without Ronaldo playing terribly, its not Ronaldo's fault. They should be able to win that game even with me playing upfront",analysis
"One of the most amusing MLS moments to me imo was when Messi made a sideways pass to the left out of muscle memory, almost as if he forgot Alba retired, because they were teammates since forever",analysis
Romario was on a different level in terms of technique and touch to every single striker not named Ronaldo or Luis Suarez. Fun part about Haaland is he could probably physically eat Romario and Gerd Müller on a Norwegian cruise. Never seen a striker this imposing in my life.,analysis
Basically just irl Drago from a not hostile country,humor
I was thinking the lightning delay was to extend Messi holding the record a few more hours.,humor
We could see double digits for multiple players at this point wow,prediction
Casually scoring world cup hattrick at 39years old,reaction
its been decades since we saw argentina play so freely with no burden on their backs at the wc,reaction
And not winning golden boot lmfao. We could have a generational cup run on our hands if Kane goes for 2 tomorrow too,prediction
GOAT. Comes and scores hattrick gets subbed. Absolute peak.,reaction
No because 1st place will be up for grabs,prediction
Need him to score a hattrick against real madrid as a barcelona player to believe the hype,prediction
Most World Cup goals of all time belong to an MLS player,humor
A lot of the big stars are showing up on the big stage. That's what you want from them,reaction
if only he can get out of the MLS vortex man let me tell you he can do things,reaction
Don’t care what anyone says. Messi is still the best in the world. He could still easily play in Europe if he wanted to. Would just need a hard working team around him like he has with Argentina.,reaction
Mbappe vs Haaland in the World Cup will be like Thragg vs Battle Beast,humor
Bold of you to assume we qualify for two more in a row,humor
250lbs full of crap. He looks slow and clumsy. Almost singlehandedly costing them by inviting so much pressure,analysis
I was like “that’s the wrong pass!” And then he scored lmao. Anything on the edge of the box is practically automatic for him. How the fuck do you defend that. He’s a freak of nature,analysis
Tied with Klose for most goals ever at 75 years of age!,humor
Must be a doppelganger really. Fifa corrupting the world cup again by making a messi lookalike clone. How did he score again after a brace if he is supposedly the real messi.,humor
Me in 2018: Oh wow Mbappe could be better than Messi by the next world cup Fucking eight years later...,prediction
Imagine him at Barca lmao. He might actually break those messi records.,prediction
We are truly watching the greatest of all time,reaction
Yet not a single goal in the Scottish Premiership,humor
"It’s a very simple algorithm for success: Step 1: Does Messi have ball? If yes, good. No further work needed. If no, why not? Give Messi ball. If at any point there is confusion, go back to step 1.",reaction
And it’s clearly the best strategy too lol,humor
Well this only means harry kane brace coming too,prediction
Seriously… wtf is that body angle? Taking a shot let alone scoring isn't even in the realm of possible outcomes for 99/100 players there.,analysis
"I remember the El Classico (2-3 with Messi last minute winner) A RM player was set to to hug Messi all game, even when they had the ball. Messi just ran around and made big holes and spaces for the rest of the team.",analysis
Especially with the expanded format. Its a crazy record a guy like him to have.,reaction
Thomas Müller went 5-5-0-0 He was on 10 goals at the age of 25 and never scored in another world cup.,prediction
"Mbappe with 2 to start the day Haaland with a near hat trick in the next game Messi hat trick in the third game No matter what happens in the nightcap, today is an all-timer of a slate.",prediction
"to maintain the level of communication, teamwork, and concentration like that is no easy work. Inter defended out of their minds at the time. Mourinho did the same plan when he went to Madrid, and it did not work at all. You stop paying attention for 10 seconds, and Messi will make you pay for it.",analysis
The schedule makers absolutely cooked with that one. 13 goals between the 3 of them now. And it's only their second match.,analysis
"Problem with that is you have to man mark him, problem with that is he will just float away and leave a gaping hole in your defense. Easier to coach against when its your teams tactic to man mark. Much harder to do for a single game.",analysis
It's absolutely bonkers how many players in this world cup have scored a brace or more. Well over 20 separate players.,reaction
He is the greatest living creature to ever touch a round object in the history of the world,reaction
Oh look at us we are football's greatest stars and we all score 2+ goals each game,humor
"0 goals in 16 matches for Bryne. Champions League and World Cup is all well and good, but clearly not cut out for the pressure of second tier Norwegian football.",humor
I'll be at the game. Both teams need to win and score lots of goal if they still want to have hope qualifying. Should be fun.,analysis
Why did braceman score 3 goals? Is he gonna score a brace of braces?,humor
Not Kane's fault he plays on a different day,humor
"I was out of town, doing a bit of visiting. I heard my friend Lionel Scaloni had finally taken the time to settle down in the countryside. Rightfully so, after what he’d been through, with all the pent-up stress and frustration built up over the years of coaching the Argentine National Football Team. “How have things been buddy?” I asked, as I saw my man step out of the house upon hearing my car come in the drive-through. “All good, life’s been a lot more chill, now that I’ve retired,” he answered. “Hey, wanna check out my animals out back? I’ve taken up farming as a hobby with my free time,” as he motioned over to the back gate. We headed out and he started introducing me to some of the livestock, mentioning how he had named them after his players, as the unhinged animals they were. Just then, I was hit by an unbearable stench. With my eyes watering uncontrollably, I questioned through gritted teeth, “What in the hell is that smell?” He looked over knowingly and said: ""Ah. Messi? The goat is never washed.”",humor
More like Koulibaly lol. I've rarely seen a rating this low in top tier games. Everyone else is around 6.,analysis
Norway is doing good but France is going to steamroll every team in this tournament. I don't think it'll be close,prediction
"No, that queen McGuire or whatever his name was",humor
Viking demands a blood sacrifice from France and Argentina,humor
In before another hattrick from Jonathan Goliath,humor
Ronaldo is gonna have 2 tomorrow (If we're talking about hydration breaks),humor
I always refer to him as Cristiano because I'm too old to think of Ronaldo having healthy knees,humor
"It's true. I actually quite like Austria. But I'd still say Senegal is better. But hey nothing to take away from Messi obviously, he's just an absolute freak of nature",analysis
"Honestly I'm all for it, it'd for sure boost football in the US, and such attacking football is more attractive for the world too.",reaction
Haaland aiming straight for that top 5 list,prediction
Had to scroll through 10 comments to find anyone talking about the actual goal. Insane to take a waist high ball on the volley with his weak foot and just punch it under the crossbar like that. Guy is a murderer.,analysis
Messi had to remind everyone who the goat is,reaction
4 goals in the past 15 minutes. Absolute hot mess classic of a match,reaction
He’s still good enough to play at the highest level in Europe imo. Man is happy to be playing for fun on Miami,reaction
That's a ridiculous fucking finish. This WC is so good with the stars really showing up.,reaction
They'll beat Iraq and probably get a third place spot,prediction
"Oh Dictator is gonna end up on top, no doubt about it. He has like minimum 2 world cups left",prediction
Kouilibaly on complete fraud watch. r/soccer too for its complete inability to comment on what's going on instead of circlejerking,reaction
"He’s no-pressure Messi, this is his best version",reaction
mbappe might take the record this WC with how he's been scoring. Haaland probably won't be able to catch up with how mbappe's scoring,prediction
Honestly. Is he still the best player on the planet?,reaction
that’s what i’ve been telling my friends. he’s probably scored like 200 goals from that exact spot,reaction
Ronaldo about to produce another stinker tomorrow,prediction
60 Year old Messi torturing Zidane's kid,humor
"Iirc the past 3 world cups haven't necessarily been goal droughts, but this wc seemingly has a lot of multi goal games from individuals vs before",analysis
All of these records will be blasted with an ever expanding format anyway,prediction
"Sorry, I'm calling him Christian Ronald from now on",humor
Wait til tomorrow for Harry Kane to lock in!,prediction
"Three penalties and another header from a Rice corner, please and thank you",prediction
Record in the Norwegian league needs some work,humor
As a Norwegian I like him in his slightly more static City role... Means he's more rested to run more for Norway and decreases his chance of getting injured at club level drastically!,analysis
"Last World Cup, the Argentina team wanted to win it for him This time around he’s going to win it for them",prediction
"If we ever get anti aging drugs, I'm giving my share to this man.",reaction
Time for Jonathan David to poach another few,prediction
He just playing around in the US between World Cups lol,humor
"They are not terrible but they are missing one of their best attacking players and overall just have a largely average squad. No real standouts, no really bad players.",analysis
Holy smokes. No pressure Messi about to be the best version of Messi,reaction
"Kind of a genius move… go to USA, build fan base up ahead of WC in USA, have big home team advantage throughout",analysis
FIRST CAREER WORLD CUP HAT TRICK AT 50 YEARS OF AGE HOLY SHIT,humor
I’ve seen this dude score that same damn goal for over 15 years.,reaction
"He definitely is. He might not be the best forward but he is 100% the most clinical finisher. Even more in the weird positions as you said - he is just so athletic and acrobatic. A bit like Zlatan, but better.",analysis
Calmmmm bro he's going there to farm stats when he's 38,prediction
Arsenal fans would know about set piece goals,humor
The ability to turn that on goal is just crazy. Dude can finish any freaking ball in the box.,reaction
Hopefully he plays in Europe some day. Make it out of the MLS,reaction
"Yes Tunisia have also had absolute nightmare players. Though, Koulibaly is probably one of the more higher profile players with such a disaster performance",analysis
"Messi, Mbappe, Halaand all going band for band this World Cup.",reaction
"honestly different messi back then. i feel now with all his experience, he can find a way to affect the game despite any style of defending from the opposition",analysis
